caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5
a sewing machine runs and a person speaks,loud clanking and banging with brief male speech,a machine clanks and thumps and a male speaks,a machine runs haltingly and then an adult male talks,a sewing machine runs slowly then a man speaks,humming and vibrations of a small machine with a man speaking
a woman speaks and a vehicle engine runs,a female speaks softly as paper crinkles,a woman speaks and is crumpling paper,someone crumples paper,a woman speaks and crumples paper,a woman speaks with some light crinkling
a machine runs and a person speaks,someone sprays a liquid onto a hard surface making a hiss sound,liquid sprays at a continuous pace,hissing and rustling with some pops,a watery hissing erupts and spits,someone sprays liquid onto a hard surface
a vehicle engine is running and revving up,a small engine idles continuously,a machine motor runs rhythmically,an engine chugging consistently,mechanical humming and vibrating,a piece of machinery vibrates loudly as it works
birds are chirping and a person speaks,birds chirp as a man speaks and a younger person speaks,birds chirp as a woman speaks,outside a couple of people are talking as a bird chirps,birds chirp over an engine sound and two women speak,a man and a woman talk as birds chirp in the background
a man speaks and a vehicle engine runs,a man is filing a hard object,a man rubs two objects together then speaks,sawing is accompanied by an adult male speaking,a man speaks while he saws at some wood,a saw cuts as an adult man speaks
,birds chirp in the background while a horse neighs followed by a girl speaking,a young woman speaks and then a horse neighs in the background,a horse neighs and a girl talks,a bird tweets a horse whinnies and a girl speaks,birds chirp then a girl speaks and a horse neighs
a dog barks and a man speaks,a television plays as a dog barks and someone laughs,a dog yaps as a person chuckles,a television plays in the background and a dog barks while someone laughs,a television plays as animals bark and a man laughs,distant speech and white noise followed by barking and laughter
a person speaks and a vehicle engine runs,rustling occurs ducks quack and water splashes followed by an adult female and adult male speaking and duck calls being blown,ducks quack as a man speaks and makes a duck sound,birds chirp and ducks squawk while a man and woman speak,birds chirp and ducks quack before a man speaks,ducks quack and a man speaks
a person speaks and a vehicle engine runs,someone is typing on a keyboard,a video game plays music as someone is typing,birds chirp and squawk and flap their wings,birds chirp and squawk over quiet clicks,a person is typing on a keyboard while a character in a video game speaks
a man speaks and a vehicle engine runs,a man speaks as a machine runs,a man speaks as a machine runs,a man speaks nearby after which machinery moves in the distance and steam hisses,a man speaks as a machine runs and makes a hiss,a man speaks as a liquid is sprayed making a hiss noise
a person speaks and a vehicle engine runs,soft movement is accompanied by clocks ticking in the background,a clock ticktocks continuously,a clock repeatedly ticks,a clock ticktocks,a clock ticks and rocks
a machine runs and a person speaks,a power tool runs and touches a surface,a man utters small exclamations as a little motor runs,a drill whirls and then stutters,high frequency humming with some sanding and rustling and a man speaking,a drill fans and a man speaks briefly
a vehicle engine is running and revving up,the rumbling of a bus followed by a soft male voice,a vehicle engine runs,a bus travels along with twice times of bumping,an engine runs and metal clings,an engine runs as metal clings
birds are chirping and a person speaks,a wooden clack accompanies nearby chirping birds,birds twitter and chirp and clatter,a door opens and birds chirp,birds chirp quietly in the distance as quiet clutter occur,lowing wind followed by a loud click and bird chirping
a man speaks and a vehicle engine runs,a grown man speaks and water bubbles and runs,a man speaks while water drains,water running down a sink while a man is talking,water drips and bubbles as a man speaks,water runs on and off as a man speaks
a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,an infant crying as a woman laughs,a baby cries as a woman laughs,a baby cries and a person laughs,a child cries as a woman speaks,an infant cries while a person laughs
a vehicle engine is running and revving up,an aircraft flies overhead as music plays,aircraft fly over head then music plays,an aircraft flies overhead then music plays,an airplane flies overhead and music plays,aircraft fly overhead and music plays
a person speaks and a vehicle engine runs,paper folding and crinkling,a person crumbles paper,papers rustling several times,paper is cut and moved around,papers crumbs shortly
a woman speaks and a vehicle engine runs,a woman sneezes then speaks,continuous sneezing together with speech,a loud sneeze followed by a woman speaking,a sneeze is followed by a woman talking,a woman sneezes and then speaks
