caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5,mult_captions_predicted_1,mult_captions_predicted_2
rain falls and wind blows,heavy rain hitting the ground,continuous rainfall,hard rain is falling and splashing on a surface,continuous rainfall,continuous and steady rainfall,rain falls and wind blows,rain falls hard and wind blows
a motorcycle engine is idling and vibrating,a motorcycle engine starting up then revving several times as a man talks in the background while wind blows into a microphone,a motorcycle engine starting up and revving as a man talks in the background,a motorbike engine starting up then revving as a man talks in the background,a motor vehicle engine is starting and accelerating,an engine revving inconsistently,an engine is idling and vibrating,a motorcycle engine is idling and vibrating
a small motor is running and metal whirring occurs,vibrations from a small engine get louder as they pass by then into the distance,a toy helicopter flying by followed by muffled plastic clacking,humming of a small engine passing by,a drone flying near and far,a small motor is running and fades and vibration is present,a small motor is running and metal whirring occurs,a small motor is running and metal whirring and whirring occurs
a man speaks and then a man speaks,a person sneezing twice followed by a man speaking then a kid chuckling as a clock ticks in the background,a person sneezes and then speaks with clock ticking in the background,sneezing followed by a ticking clock and a man speaking,a person sneezing then speaking followed by someone chuckles as a clock ticks in the background,a rapid ticktock and then a man speaks and sneezes followed by another man hiccuping,a man speaks and then a man speaks,a man speaks and then a man laughs
a clock is ticking,thuds on floor,hissing with some faint bangs,a fan sound and a tapping noise,constant faint humming and a few light knocks,thumping on a wooden surface before and after plastic clanking,a clock is ticking,a clock is ticking and something is tapped
a power tool is being used,a power tool drilling as music plays in the background,a sustained drilling noise as music plays in the background,a power tool drilling as rock music plays,power tool motor whining and drilling ending in a squeal,a power tool drilling as rock music plays,a power tool drilling,a power tool is being used
wind is blowing and waves are crashing and splashing,ocean waves crashing and water streaming as wind blows into a microphone while a man talks faintly in the distance,wind blowing with waves crashing and people speaking in the distance,ocean waves crashing as wind blows into a microphone,wind blows and waves crash with distant humming,waves are crashing as the wind blows heavily,wind blows and waves crash,wind is blowing and waves are crashing and splashing
a car engine revving and then revving up,a powerful engine revs as it idles,humming of a powerful engine revving,engine revving louder and louder than eases down,an engine revs several times,a vehicle engine revving and accelerating,a car engine revving and then revving up,a vehicle engine revving and then revving up
a man speaks while a vehicle engine runs,a man speaking as vehicles drive by and leaves rustling,a man speaking followed by a car driving by,a car passes by shortly after a man starts talking,a man talking near a road with fast moving vehicles passing by,a man talking as a vehicle drives by as rain patters on a hard surface,a man speaks while a vehicle engine runs,a man speaks while a vehicle engine idles
a vehicle engine is idling and a man is speaking over a radio,clicking and sputtering of a running engine with people speaking and wind blowing,distant muffled murmuring together with an engine running continuously and light wind,a motorboat engine running as two women are talking and wind is blowing into a microphone,a boat engine sounds wind blows by people speak,an engine running and wind blowing with people talking,a vehicle engine is idling and a man speaks,a vehicle engine is idling and a man is speaking over a radio
a goat bleats and a person yells,a man mimics goat bleating,a goat baaing normally before and after a goat screaming,a man mimics a goat bleating,a goat baaing normally before and after a goat screaming,a goat bleating repeatedly,a goat bleats nearby,a goat bleats and a person yells
a vehicle horn honks and a dog barks,a vehicle horn honking as a series of electronic beeps chime followed by a plastic click,car horn and alarm blare simultaneously,a vehicle horn honking during a series of electronic beeps,digital beeping with a horn honking twice,a series of electronic dings while a vehicle horn honks twice followed by a plastic click while a dog barks in the distance,a vehicle horn honks several times,a vehicle horn honks and a dog barks
a man speaks and water runs,a man talking followed by sawing then a metal click and plastic crinkling as water trickles and wind blows into a microphone,a man speaks and water trickles,a man speaking followed by sawing then plastic crinkling as water trickles,water trickling plastic crinkling followed by a male speaking,puncturing sound followed by water trickling and a man speaking,a man speaks and water runs,a man speaks as water is poured
an aircraft engine is idling and the wind is blowing,an aircraft taking off with some wind noises in the background,a loud airplane engine passes by and starts to diminish in the distance,aircraft engine roars as it approaches and then recedes,an airplane engine and wind,an airplane is taking flight,an aircraft engine is idling,an aircraft engine is idling and the wind is blowing
a man speaks followed by several gunshots and men laughing,gun shot then an explosion followed by male laughter,a man talking as a camera muffles followed by a loud explosion then a group of people laughing and talking,a man is talking while plastic clacks followed by a popping explosion then a group of people talking and laughing,some men speeches low followed by an explosion then the man speeches louder and laugh,camera muffling followed by a popping explosion as a group of people talk and silverware clacks in the background,a man speaks followed by several gunshots and men laughing,a man speaks followed by a gunshot and people laughing
a train horn blows as it passes by,a sudden horn blare as a train passes,a train horn honking as a train runs on railroad tracks and birds chirping,a train sounds horn while the engine taps,a loud continuous horn followed by brief clanking and more horn honking,a honking horn from an oncoming train,a train horn blows as it passes by,a train horn blows and a train passes by
a toilet flushes and water drains,a toilet flushes and water drains,a toilet flushing water as music plays in the background,a toilet is flushed,a flush occurs and suctioned water splashes and gurgles while music plays in the background,a toilet flushing as music is playing and a man is singing in the distance,a toilet flushing,a toilet flushes and water drains
water is splashing and gurgling,plastic clacking followed by as person breathing then liquid pouring into containers,trickling water sounds with breathing in the background,a liquid makes a trickling noise,plastic clanking followed by a person breathing aloud then liquid pouring into a container,gurgling and splashing water,water is splashing and gurgling,water is gurgling and gurgling
a small motor is running and a high pitched whining sound is present,an electronic device buzzing as music plays in the background followed by a woman talking faintly in the distance,music playing in the background followed by a woman speaking through a speaker as an electronic toy motor buzzes,buzzing sound moving nearer and further,a small motor is running and whirring is occurring music is ongoing in the background and an adult female speaks briefly in the background,high frequency humming,a small motor is running and a high pitched whining sound is present,a small motor is running and a high pitched whine sound is present
a motorcycle engine is running and a man speaks,an engine and speech on a loudspeaker,a small vehicle engine is running and an adult male speaks in the background,a motorcycle running and male speech and then laughing,an engine running loudly and continuously together with muffled speech,a motorcycle driving then accelerating as a man talks over an intercom followed by another man cheering,an engine revving and accelerating,a motorcycle engine is running and a man speaks
a duck quacks loudly,a man laughing,a person laughing,a man laughing,a person laughs,brief silence followed by a man laughing,a duck quacks loudly,a duck quacks loudly nearby
a sewing machine is being used,a motor vehicle engine clicks and whirs and tries to start three times metal clinks softly then a deep buzz occurs,vibrating and squealing form an engine,a vehicle struggling to start with some clicks and whines,an engine struggling to start with some clicks,an engine being started repeatedly,a drill is being used,a sewing machine is being used
wood being sawed,rough sanding and scraping,repeated scraping,brief silence followed by wood shuffling on a stone surface,wood scrapping against a stone surface,a few seconds of silence then a rasping sound against wood,wood being sawed,a saw is used
a man is speaking,a man speaking and another speaks over the phone,a man speaking followed by another man speaking through a telephone speaker,a man speaks nearby and another speaks over the phone,a man speaking on the phone to another person,male speech with another male speaking on the phone,a man speaking,a man is speaking
a large motor vehicle engine is running and an adult male is speaking in the background,humming of loud engines with men speaking,a truck revs up and moves then men talk,a truck engine running as a group of men are talking,an engine chugging followed by distant speech,a truck engine is running with people talking in the background,a large motor vehicle engine is running and an adult male speaks,a large motor vehicle engine is running and an adult male is speaking in the background
a person sneezes several times,a woman coughs and sneezes several times,a woman repeatedly sneezing and coughing,a woman sneezing repeatedly,a woman coughing and sneezing,a woman sneezing repeatedly,a person sneezes several times,a person sneezing and sniffling
a baby cries and fusses,a baby cries and shout from time to time,a baby crying and cooing,an infant crying as clothes rustle,an infant crying as cloth shuffles,an infant crying as fabric shuffles,a baby cries loudly,a baby cries and fusses
a woman speaking,a woman and a child speaking,a woman speaking with a child speaking,a woman and young boy talking,a woman and child speak,a woman talking followed by a kid talking while birds chirp in the background,a woman speaking,a woman speaks and a woman speaks
a machine is being used,the clinking of glasses with some rustling,glass clinks thumps occur and then silverware clatters,a glass link occurs a thump and then clattering,dishes and silverware rattle and click from movement,porcelain dishes clank followed by metal rattling,a machine is being used,a machine is being used and a door is opened
pigeons coo and birds chirp,birds chirping continuously,a group of birds chirp and pigeons coo,several birds chirping and pigeons cooing,pigeons cooing and birds chirping with a series of metal tapping,many small enclosed birds chirping,pigeons coo and birds chirp,pigeons coo and birds chirp and chirp and chirp
a sewing machine is being used,a bleeping noise followed by a loud object in use,engine working beeping and a scraping,digital beeping followed by rapid vibrations and humming,plastic tapping followed by an electronic beep then by a toy car motor revving and plastic scrapping against a wooden surface,loud beep followed by engine noise,a sewing machine is used,a sewing machine is being used
a man is giving a speech,a man speaking on a microphone as a crowd of people laugh followed by glass clinking,a man speaks as an audience laughs,a man speaking on a microphone as a crowd of people laugh followed by dinner plates clacking,an adult male speaking through a microphone on a stage while an audience laughs at him,an adult male is speaking and an audience is laughing,a man is giving a speech,a man is speaking and a crowd laughs
an engine revving and tires screeching,a voice on loudspeakers is drowned out by tires squealing and engines repeatedly revving,an engine is revving up the driver is making it louder by giving it more gas,a vehicle engine repeatedly revving as tires skid while a man talks over an intercom and wind blows into a microphone,race cars are racing and skidding tires,loud bustle and screech of traffic with some voices in the background,an engine revving and tires screeching,an engine revving and tires screeching as a vehicle revs and tires squeal
a clock ticking and chiming,a bell tolls followed by ticking,one long chime,a bell ringing followed by a clock ticking,a bell ringing followed by a clock ticking,music plays with low ticktock sounds and a baby cries,a clock ticking,a clock ticking and chiming
a large motor vehicle engine is idling and vibrating,an auto engine running loudly with some metallic sounds in the background,a car engine idling,an engine idling with bells ringing in the background,car engine idling,humming and rattling of an idling engine with some bells ringing in the background,a large motor vehicle engine is idling and vibrating,a large motor vehicle engine is idling and vibrating and knocking are present
a small motor vehicle engine is running and vibrating and an adult male speaks in the background,the wind is blowing a motor is buzzing and vibration is present and an adult male is speaking in the background,an engine running and muffled speech,an engine running and muffled speech,a man speaks with a small motor buzzing and wind blowing,a toy helicopter flying as a man speaks in the background while wind blows into a microphone,a small motor vehicle engine is running and a man speaks,a small motor vehicle engine is running and vibrating and an adult male speaks in the background
a sewing machine is in use,boat motor idles then accelerates,a motorboat engine running idle then accelerating as water trickles then splashes,a motorboat engine running idle then accelerating as water trickles followed by water spraying,a motor boat idling then taking off,an engine running and then accelerating,a sewing machine is in use,a sewing machine is being used
a spray can be shaken and a man speaks,a group of people talking in the background as compressed air sprays while a tin can rattles followed by a man talking,someone coughs as a spray can be being used,a person coughing followed by a series of compressed air sprays as tin and plastic rattle then a man speaking as a crowd of people talk in the background,people speak and traffic passes in the distance with a nearby cough followed by rattling and spraying,a cough then spray paint bottle shaking and spraying while a muffle of people talking in the background,a spray can be being shaken and sprayed,a spray can be shaken and a man speaks
wind blowing hard with a motor running and water splashing,a helicopter engine running as wind blows heavily into a microphone,the wind is blowing an aircraft motor is running and whirring and the beating of propellers are ongoing,a helicopter engine operating while wind blows heavily into a microphone,strong wind is blowing an aircraft motor is operating and metallic whirring and faint rotor slapping are present,a helicopter engine running idle as wind blows heavily into a microphone,wind blowing hard with a motor running,wind blowing hard with a motor running and water splashing
a horse is trotting and a person is speaking in the background,an engine running continuously together with clanking,plastic bonking as metal shuffles and clanks while a motor engine hums in the background,some rustling with short bursts of vibrations from a sewing machine,a sewing machine is in use as well as knocking and bleeping noises,machine motors operating followed by glass boinking and a series of metal clacking and shuffling,a horse is trotting,a horse is trotting and a person is speaking in the background
a train horn blows and a train passes by,a train running on railroad tracks drives by as a train horn blows several times alongside a railroad crossing signal ringing,a main horn honks a train passes by,a loud horn honking followed by a bell ringing together with clickety-clacking train passing by,distant bells followed by a horn honking and clanking,a train horn blows as a train approaches with warning bells ringing,a train horn blows and a train approaches,a train horn blows and a train passes by
wood is being tapped,wood cracking as metal clanks and slams against a wooden surface,cracking and banging,a object is hitting a surface followed by a loud boom,wood cracking and metal clanking with a series of hammering on a wooden surface,wood cracking and loud cluttering,wood is being tapped,wood is being tapped and a surface
water running followed by a toilet flushing,a toilet flushing followed by a person speaking in the distance as birds chirp in the background,a toilet flushes as a bird chirps in the distance followed by a man speaking in the background,a toilet flushes and water drains,a toilet is flushed,a bird tweets far away and someone flushes the toilet,water running followed by silence,water running followed by a toilet flushing
a machine works nearby,a drilling sound with humming in the background,a power tool drill operating followed by compressed air releasing and steam hissing,a power tool vibrating and humming,a power tool is being used to cut,a machine is drilling,a machine works,a machine works nearby
a baby cries and a woman speaks,a child sings happily over the clattering of a running machine,a young girl singing as a sewing machine operates,a girl sings while a sewing machine stitches and then speaks when it stops,a child singing with consistent clanking followed by silence then tapping and speech,a small girl sings with vibrations of a sewing machine which stops,a baby cries and a woman speaks,a child speaks and a woman speaks
emergency vehicle sirens blare and a horn blows,sirens blaring from a vehicle passes by and starts to diminish in the distance,an ambulance siren with rain,low frequency emergency siren going off followed by the siren slowing briefly,sirens ring and vehicles pass on a wet road,an emergency vehicle two-tone siren is blaring and fades and hissing is present,emergency vehicle sirens blare and a horn blows,emergency vehicle sirens sound and a horn blows
a spray is released several times,rubbing occurs while the electric motor runs,a machine works while something is rasping,wood being scraped along with mechanical sounds,rustling and scraping,a motor humming as wood is being scrapped and sanded,a spray is released,a spray is released several times
a vehicle engine is idling,thundering sounds while rain pours,consistent muffled thunder,heavy wind and thunder,thunder roaring in the distance as rain falls,continuous thunder,a vehicle engine is idling,a vehicle engine is idling and it idles
wind blowing and people screaming,light wind with people screaming and engine running,a man yelling in the distance followed by two girls shouting as a motorboat engine runs and water sprays while wind blows into a microphone,strong gusts of wind are followed by cheers and shouts from several people plus the chatter of girl,high wind with people yelling,heavy wind followed by yelling and cheering,wind blowing and people screaming,wind blows strongly as people yell and scream
a cat meowing and meowing,some rustling then silence then traffic passing in the distance with a cat meowing,a door creaking open followed by wind blowing and leaves rustling then a cat meowing,a cat is meowing,a cat meows and a door creaks,silence followed by white noise and meowing,a cat meowing and meowing,a cat meows and meows
a woman speaks while a spray is released,a woman speaks with some rustling and hissing,a woman speaks with some rattling and some spraying,a woman speaking followed by spraying,a woman speaks with some clicks and then hissing,a woman vocally demonstrating something followed by spraying,a woman speaks while something is sprayed,a woman speaks while a spray is released
a man speaks and a frog croaks,frogs croaking together with a man speaking followed by rustling,a man talking followed by plastic clunking and rattling as frogs croak and crickets chirp,a man talking followed by plastic creaking and clacking as frogs croak and crickets chirp,several frogs chirping near and far with men speaking and some banging,a man speaking as frogs croak and crickets chirp while a motorboat engine runs alongside several plastic clacks and clanging,a man speaks and a frog croaks,a man speaks while a frog croaks
a woman speaks while music plays,a woman speaks with chirping frogs and distant music playing,music plays as a woman speaks while a frog croaks followed by girl and boy speaking,while music plays in the background a frog croaks young females speak and laugh and a young male speaks,music is playing people are talking and a frog croaks,a woman speaks an frog croaks followed by wind blowing as others speak,a woman speaks while music plays,music plays and a woman speaks
birds chirping and water flowing,birds chirping and water trickling,several birds chirp with trickling water followed by booms of drums,birds chirping and water dripping with some banging in the background,water is trickling as birds chirp and soft beats of a bass drum begin to occur,water trickles as birds chirp then drums begin to play,birds chirping and water flowing,birds chirping and water running
a motor vehicle engine is running and vibrating,an engine running,engine idling consistently,vehicle motor running,an idle vehicle engine running,an engine running,an engine running consistently,a motor vehicle engine is running and vibrating
a car engine revving and tires squeal,a vehicle accelerating and revving while tires are skidding,a car engine accelerating and revving while tires skid,a vehicle revving and accelerating as tires skid and squeak on a road,an engine revving and tires squealing,car accelerating and skidding on tarmac,a car engine revving and tires squeal,a vehicle engine revving and tires squeal
a man speaks and then a spray rings,man speaks followed by second man speaking then aircraft engine whines while starting,a man talking followed by another man shouting then an aircraft engine starting up as vehicles drive by in the background,man talking in the wind and someone yells in the background while an engine makes squealing and air puffing sounds,a man talking followed by another man yelling in the background then an aircraft engine starting up as vehicles drive by,men speak followed by vibrations and hissing with passing traffic in the distance,a man speaks and then a spray rings,a man speaks followed by a woman speaking and a woman laughing
a person snoring and speaking,a man exhaling then gasping for air followed by talking and gurgling,a man gasping for air then talking followed by mumbling,a male voice talks after doing some burps,a loud exhale followed by a man speaking,burping and a man speaking,a person snoring and speaking,a person snoring and talking
an aircraft engine is idling and an adult male speaks in the background,loud humming with wind blowing,an aircraft engine running in the distance as wind blows into a microphone followed by a man talking in the background,an airplane engine and then light talking,an aircraft flying with wind blowing into a microphone followed by a man talking in the background,wind blowing with the distant humming of a jet engine,an aircraft engine is idling and an adult male speaks in the background,an aircraft engine is running and an adult male speaks in the background
a train horn blows and a train passes by,train horns honking as wind blows into a microphone while a group of people talk and an electronic beep repeatedly sounds during a vehicle engine running idle,the wind is blowing a large motor vehicle engine idles an electronic signal beep a vehicle horn blows and faint speech is present in the background,vehicles are moving horns are sounding the door alarm to a bus is beeping,horns honking repeatedly and a beeping sound,vibrations and rattling with distant hums and honks,a train horn blows and a train passes by,a train horn blows and a train moves getting closer
a man speaks followed by a horn honking and a woman laughing,people speak followed by a loud air horn and people laughing,a young man whispering followed by a horn honking then a group of people laughing while someone claps,people whisper and then a horn sounds and people laugh,people are whispering and a horn sounds followed by laughter,a young man and a girl talking followed by a horn honking then a group of people laughing and a person clapping,a man speaks and laughs,a man speaks followed by a horn honking and a woman laughing
a man speaks while water runs,a man talking while another person talks in the distance as water trickles and birds chirp in the background,light mechanical sounds while male speaking,constant squeaking occurs while a man speaks,a man talking as a kid talks in the distance while machine squeaks in the background,a man speaking followed by a woman talking in the distance as a faucet pours water and birds chirp in the background,a man speaks while water runs,a man speaks as water runs
a man speaks while food sizzles in a pan,splashing water with some rustling followed by a man speaking,tapping noises followed by a man talking with gurgling background noises,metal clacking followed by a man talking as metal rattles while light guitar music plays in the background,something bangs and clicks then a man talks and scrapes something,food and oil sizzling followed by metal rattling as a man is talking while guitar music plays and water trickles in the background,a man speaks while food sizzles in a pan,a man speaks as food sizzles in a pan
water is running from a faucet and a woman is speaking,water splashing followed by women speaking,water is running and hitting a surface and women speaks,water splashing followed by a woman speaking,water splashes irregularly as a man speaks then a woman calls loudly,water splashing with a woman speaking,water is running from a faucet and a woman speaks,water is running from a faucet and a woman is speaking
a baby is laughing and a woman is laughing,water splashing as a baby is laughing and birds chirp in the background,splashing a baby laughs then a woman laughs,water splashing and a baby laughing,a baby laughing and splashing and a female laughing,an infant and woman laughing as water splashes and birds chirp in the background,a baby laughs and a woman laughs,a baby is laughing and a woman is laughing
a machine motor is running and vibrating,small quick vibrations,vibrations and clicking,an electric motor runs then a person speaks,crickets chirping during plastic scrapping and an electric device humming,a machine makes a constant rumbling noise,a machine motor is running,a machine motor is running and vibrating
a cat meowing and meowing,a cat meows and hisses,a cat meowing and hissing,a cat meowing and hissing,a cat meows angrily while speech is faintly present in the background,cats meows and hisses and some thuds,a cat meowing and meowing,a cat meows and meows
a race car accelerates and shifts gears,race cars are passing by,vibrations from an engine as a car speeds past,a car is shifting gears,a car engine revs as it passes by,humming and vibrations of a vehicle speeding past and into the distance,a race car accelerates and shifts gears,a race car engine revs and accelerates
a man is speaking and a vehicle engine is idling,a man speaks with several loud explosions and deep booming whooshes,man speaking swords clash monstrous voice speaks,synthesized laser effects and explosions as a man talks followed by a deeper voiced man talking then woman laughing,electronic laser blasts and explosions followed by a deep-voiced man talking while a man commentates followed by a woman chuckling,male speaking with sword clanging followed by a females giggle,a man is speaking and a vehicle engine is idling,a man is speaking and a vehicle engine is running
a man speaks and a cat meows,speech followed by quietness and a man speaks and laughs,a man laughs and talks with another man sneezing,speech and then a sneeze and laughter,a man speaks followed by a sneeze and a laugh,muffled speech followed by laughter,a man speaks and a cat meows,a man speaks and a woman speaks
a man speaks while bees buzz,outside noises of insects buzzing around birds communicating and a man exchanging information with another man,bees buzz while two men talk followed by a sniffle,swarm of bees buzzing and two men speaking,bees are buzzing while birds chirp and two adult males are having a conversation,men speaking with insects buzzing,a man speaks while bees buzz,a man speaks while insects buzz
a man speaks and whistles,a man talking then whistling,a man talks and then whistles,a man talking then whistling,a man talking then whistling,a man speaking then whistling,a man speaks and whistles,a man speaks and then whistles
a man is speaking and a truck engine is idling,an engine idling and a man speaking,a man speaking as a truck engine runs idle,a man talking as an idle truck engine runs,a man speaking as well as an engine idling in the background,motor sounds with male speaking,a man speaks while a vehicle engine idles,a man is speaking and a truck engine is idling
rain falls and wind blows hard,heavy rainfall with a brief muffled thunder from outside,thunder claps and hard rain falls and splashes on surfaces,plastic cranking as rain heavily pours while a stream of water rapidly flows,rain and thunder,sounds of a thunderstorm with heavy rain,rain falls and wind blows hard,rain falls and wind blows hard and waves crash
a clock ticking,the rhythmic and repeated ticktock of a clock,a clock ticking,mechanical sound with clock tick-tocking,a clock ticking,a clock ticking,a clock ticking,a clock ticks very slowly
a train horn blows and a train passes by,a railroad horn sounds repeatedly,a train horn blasts as railroad rails go clickety-clack,a train horn goes off loudly,a train running on a railroad track as steam hisses and a train horn blows several times along with a railroad crossing signal ringing in the background,a train horn blowing as a train runs on railroad tracks while a train signal beeps in the background,a train horn blows and a train passes by,a train horn blows as a train passes by
an engine is idling and is revved up,an engine chugging slowly followed by the engine revving,clicking and sputtering then eventual revving of an idling engine,sputtering of an idling and revving engine,a motorcycle engine running idle then revving,sputtering and humming of an engine,an engine is idling and is revved up,an engine is idling and then revs up
a helicopter is flying by,a helicopter blades running,a helicopter flying,helicopter blades spinning then fading away,a helicopter flies with spinning blades,helicopter flying away,a helicopter flying,a helicopter is flying by
water is splashing and people are yelling,water splashes and people scream and speak and laugh,people are shouting laughing and clapping water is rushing and splashing and an adult male speaks and laughs in the foreground,several people cheer and scream and speak as water flows hard,yelling and water flowing,applause together with speech and hollering with running water in our he background,water is splashing and people are yelling,water is splashing and people are yelling and yelling
pigeons coo and flap their wings,doves cooing quietly,birds cooing with clanging in background,pigeons cooing and bird wings flapping as footsteps shuffle on paper,pigeons coo with some light rustling,light footsteps and doves cooing,pigeons coo and flap wings,pigeons coo and flap their wings
several pigeons coo and flap wings,pigeons coo and flap their wings,several pigeons cooing and flapping wings repeatedly,pigeons coo and flap their wings,pigeons coo and flap their wings,pigeons coo and flap their wings,pigeons coo and flap wings,several pigeons coo and flap wings
a group of people talking and laughing as a vehicle engine runs idle,a group of children talking as a man talks over an intercom while a large truck engine runs followed by compressed air releasing,a man talking on loudspeakers along with an idling truck and a bustling crowd,a crowd of children talking as a man speaks over an intercom as a large truck engine runs idle followed by pressurized air releasing,a man speaks over a loudspeaker as people speak and an engine hums,a vehicle engine running and children speaking,a group of people talking as a vehicle engine runs idle,a group of people talking and laughing as a vehicle engine runs idle
a clock is gently ticking,a quiet ticking sound at regular intervals interval shortens near the end and a man coughs quietly,a clock ticking for several seconds followed by faint coughing,a man speaks with faint ticks of a clock,ticking of a clock,white noise and slow tick locking with brief coughing,a clock is ticking,a clock is gently ticking
a man is speaking and rubbing something,mechanical noises followed by pigs oinking and a man talking,humming followed by faint cracking oinks and a man speaking,rhythmic squeaking is ongoing pigs oink an adult male speaks and music plays faintly in the background,birds chirping oinking and then male speech,humming and vibrating with a man speaking and small oinks,a man is speaking and rubbing something,a man is speaking and using a tool
a person burping followed by a person burping then a person burping,male speech and then a burp,a motor vehicle engine is running two adult males speak two burps occur and person laughs,men riding in the car talking then man burps loudly and then the other chuckles,two men talk followed by a person belching as a car drives,a motor engine is working far away and some boys talks then suddenly a loud eructation followed by laughs,a person burping followed by a person burping then a person burping,a person burping followed by a person burping then a person burping then a person burping then a person burping
a child is crying and a woman is laughing,a female speech and laughing with running water,ocean waves crashing as a woman laughs and yells as a group of boys and girls scream and laugh in the distance,a woman yelling and laughing as a group of people shout while ocean waves crash and wind blows into a microphone,woman screaming and yelling to another person with loud wind and waves in background,a woman yelling and laughing as ocean waves crash and a group of people shout while wind blows into a microphone,a child is crying and a woman speaks,a child is crying and a woman is laughing
a cat meows and a cat meows,cats meowing and then wind,a cat meowing as wind blows into a microphone,cat meowing sadly,cats meow as the wind blows,a cat meowing as wind blows into a microphone,a cat meows and a cat meows,a cat meows and a person speaks
a man is speaking and a crowd is talking in the background,a man is speaking with crowd noise in the background,male speaking with many people cheering in background,a man is giving a speech and a crowd cheers,a man speaking while a large crowd cheers in the background,a man is speaking along with noise from a cheering crowd,a man is speaking and a crowd is talking,a man is speaking and a crowd is talking in the background
a train running on railroad tracks followed by a train horn blowing,a running train and then a train whistle,train is moving followed by a train horn,railroad tracks clickety-clack as a train horn blasts,a train engine is operating rhythmic vibrating clacking and clattering are ongoing and a train whistle blows three times,clickety clanking followed by a horn honking loudly,a train running on railroad tracks as a train horn blows,a train running on railroad tracks followed by a train horn blowing
a man speaks followed by a bird chirping,a man speaks then a small bird chirps,an adult male speaks a bird chirps harshly and then the adult male and an adult female speak,a male speech and a bird chirping,a man talking followed by a bird squawking then a kid talking,man speaking then a bird chipping,a man speaks and a bird chirps,a man speaks followed by a bird chirping
a man speaks as something is fried,a man talking while wood clanks on a metal pan followed by gravel crunching as food and oil sizzle,food and oil sizzling as a man is speaking followed by wooden clanking then gravel scraping,a man speaks as food sizzles followed by some cracks,a man speaks as food sizzles with some banging and some cracking,a man is talking and food is frying,a man speaks as food sizzles,a man speaks as something is fried
a machine motor humming,an aircraft engine running then slowing down after a plastic click,a quiet whirring of an airplane,an aircraft engine humming followed by plastic clanking then an aircraft engine slowing down,the whir of an aircraft engine,an aircraft engine running then slowing down with a plastic clank in the background,a machine motor humming,a machine motor is running and it slows down
an engine is running and screaming and screaming,a loud shrill followed by a power tool drilling and a man screaming while liquid pours and splatters,a person screeching followed by a man screaming as a power tool drills and liquid sprays and gurgles,a man shrilling followed by a power tool drilling and a man screaming as liquid splatters,a man screams while a drill runs,a power drill running followed by drilling noises and human screaming,an engine revving and cheering,an engine is running and screaming and screaming
a car engine revving and accelerating,race car shifting gears,racecar motor revving engine with downshifting,a race car accelerating and driving as plastic rattles,humming and vibrations from a speeding car,slight rattling is ongoing while a mid-size motor vehicle engine runs fast and accelerates and then gears shift downward,a car engine revving and accelerating,a vehicle engine revving and accelerating
a man speaks and a bird chirps,a bird whistling followed by a group of people softly talking then an electronic beep,birds chirping followed by whispering,a bird making vocalizations from a distance followed by several people whispering nearby,birds chirp followed by people communicating,birds chirping in the distance followed by people speaking and a camera click,a man speaks and a bird chirps,a man speaks and a dog barks
a machine motor is running and metal scraping occurs,consistent ripping and tearing,velcro scrapping off fabric followed as an air ventilation system hums in the background,an industrial motor is humming and ripping and tearing are occurring,some whirring and sticky tape ripping off from a surface,repeated ripping occurs then sharp tapping in the background,a machine motor is running and metal scraping occurs,a machine motor is running and metal scraping and grinding occur
waves are crashing and wind is blowing,waves crash against a shore,ocean waves crashing and water splashing followed by a bird cawing,ocean waves are hitting the shores,ocean waves crashing and water splashing,water rushing and rippling,waves crashing and wind blowing,waves are crashing and wind is blowing
an engine revving and accelerating,a vehicle engine revving several times with a series of compressed air releasing and plastic pops,an engine revving with whooshing,humming and rattling from a revving engine,an engine revving,an engine hums and rattles as it accelerates,an engine revving and accelerating,an engine revving and revving
a machine works nearby,spraying and hissing with some light vibrations,the hiss of spraying,bad quality audio,something spraying from a hose followed by the buzz of a machine,compressed air spraying followed by a power tool buzzing,a machine works nearby,a machine runs and a door opens
a man speaks while a boat speeds by,men talking followed by an engine starting,an motor blowing air faintly before becoming more audible as a man talks,a man speaks as a machine hums quietly and then increases in volume,an engine running with a male speaking,a man speaks with some distant humming and vibrating getting louder,a man speaks while a boat speeds by,a man speaks while a boat engine runs
a spray is released and people are talking in the background,humming of an engine with people speaking in the distance followed by hissing,clicking and humming with people speaking followed by a hydraulic hiss,people speaking faintly with some humming and a hydraulic hiss,a muffled steam engine running as a crowd of people talk followed by muffled steam hissing,indiscriminate speech and then hissing,a spray is released and people are talking,a spray is released and people are talking in the background
a train running on railroad tracks followed by a train horn honking,a train running on railroad tracks followed by a train horn honking and railroad signal bells chiming,a hum of a train engine passing with a blowing horn,a train roars and honks it horn,a train running on railroad tracks drives by followed by a train whistle blowing and warning signals ringing,a train running and the horn honking and bells chiming,a train running on railroad tracks followed by a train horn honking,a train running on railroad tracks followed by a train horn honking and a train horn honking
a goat bleats and a man speaks,birds chirping and wind blowing in the background followed by a man talking then a goat baaing,a man talking followed by a goat baaing as gusts of wind blow and birds chirp in the distance,speech and a goat bleating,a man speaks and a goat bleats,a man speaks and a goat bleats,a goat bleats and a man speaks,a man speaks and a goat bleats
